"Cruise","Station","Deployment","Tube","Channel","Region","Habitat",".id","Zone","SSE","P.Value","Top_Concen","Bottom_Concen","Top_Flux","Bottom_Flux","Integrated_Prod","OPD"
"OR1_1126","GC3","1","2","1","Gaoping","Canyon","OR1_1126_GC3_1_2_Ch1",9,4981.03802328999,0.000128822410172758,103.693512816062,64.6159973144531,0.000888594390828845,0,-0.000888594390828845,73136
"OR1_1126","GC4","1","1","1","Gaoping","Canyon","OR1_1126_GC4_1_1_Ch1",9,224.035829326397,0.000793817343299197,150.245910719671,0,0.00085114909196819,-1.47600183962696e-16,-0.000851149091968211,22389
"OR1_1126","GC4","3","4","1","Gaoping","Canyon","OR1_1126_GC4_3_4_Ch1",8,193.287512845955,0.000979364162826735,50.2000332286911,-2.24000000953674,5.63683851364121e-05,-3.25142161055126e-18,-5.63683851364091e-05,26870
"OR1_1126","GS2","1","3","1","Gaoping","Slope","OR1_1126_GS2_1_3_Ch1",10,78.6733053379342,0.0111375273580129,179.043496672672,-2.25,0.000788241064531587,-2.6252275542292e-16,-0.000788241064531626,8957
"OR1_1126","GS3","1","3","1","Gaoping","Slope","OR1_1126_GS3_1_3_Ch1",10,124.148412558807,0.00035076061441075,29.8180434348204,-3.51799988746643,0.000592298399964195,-3.85779441853352e-17,-0.000592298399964196,74141
"OR1_1132","ST3","1","2","3","Dongsha","Slope","OR1_1132_ST3_1_2_Ch3",10,823.856824475807,1.30773088686809e-05,323.623885576864,-3.89000010490417,0.00306207038307459,-6.31803046834616e-16,-0.00306207038307464,23736
"OR1_1132","ST3","1","2","4","Dongsha","Slope","OR1_1132_ST3_1_2_Ch4",10,3413.19192742454,0.111042203142895,327.597577036114,-2.57999992370605,0.00174539095337784,-3.13095195358139e-16,-0.00174539095337775,22540
"OR1_1138","GS5","1","2","4","Gaoping","Slope","OR1_1138_GS5_1_2_Ch4",6,1455.19915749214,0.00378163251722297,283.453437429938,-5.73999977111816,0.00658256871715509,-1.87428565577013e-15,-0.00658256871715522,10436
"OR1_1138","S27","1","1","1","Formosa","Canyon","OR1_1138_S27_1_1_Ch1",7,1225.02335820319,0.0149289291304683,131.480579895772,-4.65000009536743,0.00927634099267741,-1.60460980251643e-15,-0.00927634099267741,19947
"OR1_1138","S27","1","1","4","Formosa","Canyon","OR1_1138_S27_1_1_Ch4",8,2358.45239395578,0.0156469119913699,133.892458655062,-6.1399998664856,0.0151784221826645,-1.70939884265193e-15,-0.0151784221826645,24334
"OR1_1138","S27a","1","8","2","Penghu","Canyon","OR1_1138_S27a_1_8_Ch2",10,784.991116006232,0.496030656825675,287.200737329167,-3.76999998092651,0.000395199362335662,0,-0.000395199362335818,8647
"OR1_1190","FS4","1","7","3","Fangliao","Slope","OR1_1190_FS4_1_7_Ch3",10,404.041990942833,0.299247941064087,212.732293755914,-6.05999994277954,0.0292672931797015,-8.23587396318321e-15,-0.0292672931797014,9475
"OR1_1190","GC3","1","12","3","Gaoping","Canyon","OR1_1190_GC3_1_12_Ch3",10,300.051859654823,0.499999699952355,283.855322625934,2.28139996528625,0.0624579861352657,-4.15707358855051e-14,-0.0624579861352656,4600
"OR1_1190","HC2","1","11","3","Hongtsai","Canyon","OR1_1190_HC2_1_11_Ch3",10,1042.8990513506,0.470137504563726,162.94549504552,1.10000002384186,0.0408333942051594,-1.28854064804933e-14,-0.0408333942051594,8094
"OR1_1190","HC4","1","5","3","Hongtsai","Canyon","OR1_1190_HC4_1_5_Ch3",10,7133.65662916109,0.0926178485924996,146.090251134322,1.0900000333786,0.00181565842739225,-2.11774114144079e-16,-0.00181565842739226,26158
"OR1_1219","GS1","1","5","1","Gaoping","Slope","OR1_1219_GS1_1_5_Ch1",10,597.039669879784,0.00113995315029225,109.519126497507,-0.400000005960464,0.00129412129468022,-2.0612102800767e-16,-0.00129412129468023,21418
"OR1_1219","S4","1","2","2","Gaoping","Shelf","OR1_1219_S4_1_2_Ch2",10,1000.06113538415,0.0335920760135477,123.514755710773,-0.209999993443489,0.000709749691175123,1.18249755585887e-14,-0.000709749691175126,17076
"OR1_1242","S1","2","1","1","Gaoping","Shelf","OR1_1242_S1_2_1_Ch1",10,117.086730928714,0.00629810362943906,91.0635193695131,32.5400009155273,0.000820726191024264,-3.19608329584884e-16,-0.000820726191024253,11745
"OR1_1242","S5","1","7","1","Gaoping","Shelf","OR1_1242_S5_1_7_Ch1",10,66.5553562285916,0.00258171008349373,143.443732173708,26.5,0.00111617570450793,-3.29092354090264e-16,-0.00111617570450793,12733
"OR1_1242","S6","1","11","2","Gaoping","Shelf","OR1_1242_S6_1_11_Ch2",10,202.960250338746,0.00157088232018054,131.416650754771,-1.32000005245209,0.00205920051107961,-7.19201657964066e-16,-0.00205920051107961,11844
